Rice 151: (788, 684), (838, 684), (838, 753), (788, 753)
Rice 152: (453, 682), (503, 682), (503, 751), (453, 751)
Rice 153: (1174, 673), (1219, 673), (1219, 745), (1174, 745)
Rice 154: (72, 671), (117, 671), (117, 743), (72, 743)
Rice 155: (625, 670), (665, 670), (665, 734), (625, 734)
Rice 156: (870, 650), (917, 650), (917, 718), (870, 718)
Rice 157: (374, 648), (421, 648), (421, 716), (374, 716)
Rice 158: (705, 646), (769, 646), (769, 696), (705, 696)
Rice 159: (522, 644), (586, 644), (586, 694), (522, 694)
Rice 160: (1078, 640), (1136, 640), (1136, 691), (1078, 691)
Rice 161: (155, 638), (213, 638), (213, 689), (155, 689)
Rice 162: (632, 626), (660, 626), (660, 648), (632, 648)
Rice 163: (46, 612), (103, 612), (103, 662), (46, 662)
Rice 164: (1187, 611), (1246, 611), (1246, 663), (1187, 663)
Rice 165: (155, 584), (213, 584), (213, 635), (155, 635)
Rice 166: (1079, 583), (1137, 583), (1137, 634), (1079, 634)
Rice 167: (308, 583), (368, 583), (368, 690), (308, 690)
Rice 168: (272, 583), (296, 583), (296, 690), (272, 690)
Rice 169: (995, 582), (1020, 582), (1020, 692), (995, 692)
Rice 170: (923, 582), (984, 582), (984, 692), (923, 692)
Rice 171: (522, 579), (586, 579), (586, 629), (522, 629)
Rice 172: (706, 578), (770, 578), (770, 628), (706, 628)
Rice 173: (374, 557), (421, 557), (421, 625), (374, 625)
Rice 174: (871, 555), (918, 555), (918, 624), (871, 624)
Rice 175: (201, 544), (272, 544), (272, 566), (201, 566)
Rice 176: (1020, 543), (1091, 543), (1091, 565), (1020, 565)
Rice 177: (0, 543), (52, 543), (52, 570), (0, 570)
Rice 178: (1240, 542), (1290, 542), (1290, 569), (1240, 569)
Rice 179: (625, 540), (667, 540), (667, 604), (625, 604)
Rice 180: (72, 530), (117, 530), (117, 602), (72, 602)
Rice 181: (1175, 529), (1220, 529), (1220, 601), (1175, 601)
Rice 182: (453, 522), (503, 522), (503, 592), (453, 592)
Rice 183: (789, 521), (839, 521), (839, 590), (789, 590)
Rice 184: (123, 506), (155, 506), (155, 564), (123, 564)
Rice 185: (1137, 505), (1169, 505), (1169, 563), (1137, 563)
Rice 186: (0, 495), (62, 495), (62, 527), (0, 527)
Rice 187: (1230, 494), (1290, 494), (1290, 526), (1230, 526)
Rice 188: (319, 489), (384, 489), (384, 536), (319, 536)
Rice 189: (908, 488), (973, 488), (973, 535), (908, 535)
Rice 190: (157, 476), (213, 476), (213, 540), (157, 540)
Rice 191: (1079, 475), (1135, 475), (1135, 539), (1079, 539)
Rice 192: (242, 470), (313, 470), (313, 508), (242, 508)
Rice 193: (979, 469), (1050, 469), (1050, 507), (979, 507)
Rice 194: (532, 468), (567, 468), (567, 538), (532, 538)
Rice 195: (725, 467), (760, 467), (760, 537), (725, 537)
Rice 196: (599, 465), (693, 465), (693, 513), (599, 513)
Rice 197: (500, 459), (536, 459), (536, 535), (500, 535)
Rice 198: (76, 459), (135, 459), (135, 518), (76, 518)
Rice 199: (1157, 458), (1216, 458), (1216, 517), (1157, 517)
Rice 200: (756, 458), (792, 458), (792, 534), (756, 534)
Rice 201: (208, 430), (278, 430), (278, 460), (208, 460)
Rice 202: (1014, 429), (1084, 429), (1084, 459), (1014, 459)
Rice 203: (615, 424), (677, 424), (677, 446), (615, 446)
Rice 204: (411, 416), (454, 416), (454, 488), (411, 488)
Rice 205: (838, 415), (881, 415), (881, 487), (838, 487)
Rice 206: (43, 413), (96, 413), (96, 473), (43, 473)
Rice 207: (1196, 412), (1249, 412), (1249, 472), (1196, 472)
Rice 208: (448, 399), (487, 399), (487, 465), (448, 465)
Rice 209: (805, 398), (844, 398), (844, 464), (805, 464)
Rice 210: (346, 392), (383, 392), (383, 470), (346, 470)
Rice 211: (909, 391), (946, 391), (946, 469), (909, 469)
Rice 212: (127, 387), (185, 387), (185, 447), (127, 447)
Rice 213: (1107, 386), (1165, 386), (1165, 446), (1107, 446)
Rice 214: (0, 377), (67, 377), (67, 462), (0, 462)
Rice 215: (1225, 376), (1290, 376), (1290, 461), (1225, 461)
Rice 216: (614, 376), (678, 376), (678, 416), (614, 416)
Rice 217: (285, 364), (310, 364), (310, 442), (285, 442)
Rice 218: (982, 363), (1007, 363), (1007, 441), (982, 441)
Rice 219: (484, 363), (529, 363), (529, 422), (484, 422)
Rice 220: (763, 362), (808, 362), (808, 421), (763, 421)
Rice 221: (559, 358), (634, 358), (634, 384), (559, 384)
Rice 222: (658, 357), (733, 357), (733, 383), (658, 383)
Rice 223: (80, 340), (137, 340), (137, 400), (80, 400)
Rice 224: (1155, 339), (1212, 339), (1212, 399), (1155, 399)
Rice 225: (224, 332), (249, 332), (249, 402), (224, 402)
Rice 226: (1043, 331), (1068, 331), (1068, 401), (1043, 401)
Rice 227: (486, 331), (554, 331), (554, 383), (486, 383)
Rice 228: (738, 330), (805, 330), (805, 382), (738, 382)
Rice 229: (0, 328), (52, 328), (52, 369), (0, 369)
Rice 230: (1240, 327), (1290, 327), (1290, 368), (1240, 368)
Rice 231: (143, 323), (220, 323), (220, 356), (143, 356)
Rice 232: (1072, 322), (1149, 322), (1149, 355), (1072, 355)
Rice 233: (592, 313), (700, 313), (700, 345), (592, 345)
Rice 234: (127, 289), (194, 289), (194, 315), (127, 315)
Rice 235: (1098, 288), (1165, 288), (1165, 314), (1098, 314)
Rice 236: (370, 284), (418, 284), (418, 355), (370, 355)
Rice 237: (874, 283), (922, 283), (922, 354), (874, 354)
Rice 238: (88, 277), (112, 277), (112, 350), (88, 350)
Rice 239: (1180, 276), (1204, 276), (1204, 349), (1180, 349)
Rice 240: (501, 271), (550, 271), (550, 322), (501, 322)
Rice 241: (742, 270), (791, 270), (791, 321), (742, 321)
Rice 242: (43, 265), (69, 265), (69, 340), (43, 340)
Rice 243: (1223, 264), (1249, 264), (1249, 339), (1223, 339)
Rice 244: (304, 263), (375, 263), (375, 306), (304, 306)
Rice 245: (265, 263), (292, 263), (292, 336), (265, 336)
Rice 246: (1000, 262), (1027, 262), (1027, 335), (1000, 335)
Rice 247: (917, 262), (988, 262), (988, 305), (917, 305)
Rice 248: (0, 253), (25, 253), (25, 322), (0, 322)
Rice 249: (1267, 252), (1290, 252), (1290, 321), (1267, 321)
Rice 250: (134, 232), (206, 232), (206, 263), (134, 263)
Rice 251: (1086, 231), (1158, 231), (1158, 262), (1086, 262)
Rice 252: (428, 229), (474, 229), (474, 374), (428, 374)
Rice 253: (818, 228), (864, 228), (864, 373), (818, 373)
Rice 254: (24, 212), (88, 212), (88, 255), (24, 255)
Rice 255: (1204, 211), (1268, 211), (1268, 254), (1204, 254)
Rice 256: (564, 209), (728, 209), (728, 286), (564, 286)
Rice 257: (213, 208), (239, 208), (239, 281), (213, 281)
Rice 258: (1053, 207), (1079, 207), (1079, 280), (1053, 280)
Rice 259: (504, 199), (551, 199), (551, 272), (504, 272)
Rice 260: (741, 198), (788, 198), (788, 271), (741, 271)
Rice 261: (365, 190), (424, 190), (424, 248), (365, 248)
Rice 262: (868, 189), (927, 189), (927, 247), (868, 247)
Rice 263: (263, 184), (333, 184), (333, 220), (263, 220)
Rice 264: (959, 183), (1029, 183), (1029, 219), (959, 219)
Rice 265: (1280, 177), (1290, 177), (1290, 232), (1280, 232)
Rice 266: (0, 177), (12, 177), (12, 234), (0, 234)
Rice 267: (612, 166), (680, 166), (680, 200), (612, 200)
Rice 268: (102, 151), (197, 151), (197, 220), (102, 220)
Rice 269: (1095, 150), (1190, 150), (1190, 219), (1095, 219)
Rice 270: (433, 145), (492, 145), (492, 253), (433, 253)
Rice 271: (800, 144), (859, 144), (859, 252), (800, 252)
Rice 272: (209, 142), (271, 142), (271, 194), (209, 194)
Rice 273: (1021, 141), (1083, 141), (1083, 193), (1021, 193)
Rice 274: (59, 141), (83, 141), (83, 221), (59, 221)
Rice 275: (1209, 140), (1234, 140), (1234, 220), (1209, 220)
Rice 276: (364, 130), (389, 130), (389, 204), (364, 204)
Rice 277: (903, 129), (928, 129), (928, 203), (903, 203)
Rice 278: (546, 126), (602, 126), (602, 179), (546, 179)
Rice 279: (1258, 125), (1290, 125), (1290, 166), (1258, 166)
Rice 280: (690, 125), (746, 125), (746, 178), (690, 178)
Rice 281: (0, 125), (34, 125), (34, 167), (0, 167)
Rice 282: (97, 119), (129, 119), (129, 184), (97, 184)
Rice 283: (1163, 118), (1195, 118), (1195, 183), (1163, 183)
Rice 284: (387, 112), (438, 112), (438, 177), (387, 177)
Rice 285: (854, 111), (905, 111), (905, 176), (854, 176)
Rice 286: (314, 110), (349, 110), (349, 183), (314, 183)
Rice 287: (943, 109), (978, 109), (978, 182), (943, 182)
Rice 288: (143, 104), (182, 104), (182, 157), (143, 157)
Rice 289: (1110, 103), (1149, 103), (1149, 156), (1110, 156)
Rice 290: (512, 101), (546, 101), (546, 167), (512, 167)
Rice 291: (746, 100), (780, 100), (780, 166), (746, 166)
Rice 292: (200, 100), (263, 100), (263, 141), (200, 141)
Rice 293: (1029, 99), (1092, 99), (1092, 140), (1029, 140)
Rice 294: (455, 98), (502, 98), (502, 144), (455, 144)
Rice 295: (790, 97), (837, 97), (837, 143), (790, 143)
Rice 296: (566, 91), (638, 91), (638, 128), (566, 128)
Rice 297: (654, 90), (726, 90), (726, 127), (654, 127)
Rice 298: (45, 85), (94, 85), (94, 145), (45, 145)
Rice 299: (1198, 84), (1247, 84), (1247, 144), (1198, 144)
Rice 300: (228, 78), (301, 78), (301, 109), (228, 109)
Rice 301: (991, 77), (1064, 77), (1064, 108), (991, 108)
Rice 302: (429, 76), (498, 76), (498, 105), (429, 105)
Rice 303: (794, 75), (863, 75), (863, 104), (794, 104)
Rice 304: (152, 59), (199, 59), (199, 104), (152, 104)
Rice 305: (1093, 58), (1140, 58), (1140, 103), (1093, 103)
Rice 306: (570, 55), (625, 55), (625, 103), (570, 103)
Rice 307: (337, 55), (407, 55), (407, 96), (337, 96)
Rice 308: (885, 54), (955, 54), (955, 95), (885, 95)
Rice 309: (667, 54), (722, 54), (722, 102), (667, 102)
Rice 310: (1258, 46), (1290, 46), (1290, 103), (1258, 103)
Rice 311: (0, 46), (34, 46), (34, 104), (0, 104)
Rice 312: (403, 43), (445, 43), (445, 100), (403, 100)
Rice 313: (847, 42), (889, 42), (889, 99), (847, 99)
Rice 314: (536, 40), (566, 40), (566, 110), (536, 110)
Rice 315: (726, 39), (756, 39), (756, 109), (726, 109)
Rice 316: (26, 38), (94, 38), (94, 80), (26, 80)
Rice 317: (1198, 37), (1266, 37), (1266, 79), (1198, 79)
Rice 318: (91, 10), (133, 10), (133, 70), (91, 70)
Rice 319: (1159, 9), (1201, 9), (1201, 69), (1159, 69)
Rice 320: (310, 7), (337, 7), (337, 79), (310, 79)
Rice 321: (955, 6), (982, 6), (982, 78), (955, 78)
Rice 322: (272, 3), (307, 3), (307, 55), (272, 55)
Rice 323: (985, 2), (1020, 2), (1020, 54), (985, 54)
Rice 324: (1124, 0), (1164, 0), (1164, 27), (1124, 27)
Rice 325: (1075, 0), (1103, 0), (1103, 56), (1075, 56)
Rice 326: (1041, 0), (1073, 0), (1073, 64), (1041, 64)
Rice 327: (860, 0), (889, 0), (889, 37), (860, 37)
Rice 328: (792, 0), (837, 0), (837, 45), (792, 45)
Rice 329: (728, 0), (747, 0), (747, 32), (728, 32)
Rice 330: (665, 0), (710, 0), (710, 18), (665, 18)
Rice 331: (583, 0), (628, 0), (628, 19), (583, 19)
Rice 332: (545, 0), (564, 0), (564, 33), (545, 33)
Rice 333: (455, 0), (500, 0), (500, 46), (455, 46)
Rice 334: (403, 0), (433, 0), (433, 38), (403, 38)
Rice 335: (219, 0), (251, 0), (251, 65), (219, 65)
Rice 336: (189, 0), (217, 0), (217, 57), (189, 57)
Rice 337: (128, 0), (169, 0), (169, 28), (128, 28)
